LotFrontage,LotArea,OverallQual,OverallCond,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,PoolArea,TotalSF,TotalBath,TotalPorchSF,YearBuildAgo,YearRemodAddAgo,GarageYrBltAgo,MoSoldAgo,BsmtFinQuality1,OverallQual_x_TotalSF,MSZoning_FV,MSZoning_RL,MSZoning_RM,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_IDOTRR,Neighborhood_NAmes,Neighborhood_OldTown,Neighborhood_Sawyer,Neighborhood_Somerst,Neighborhood_StoneBr,Foundation_CBlock,Foundation_PConc,CentralAir_Y,GarageType_Attchd,GarageType_CarPort,SaleType_New,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,SalePrice
65.0,8450,7,5,196.0,4,3,4,1,706.0,0.0,150.0,5,856,854,1710,3,1,4,8,0,0,0,2,2.0,548.0,3,3,0,0,61,0,0,0,2566.0,3.5,61,7,7,7.0,34,5.0,17962.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,12.24769911637256
80.0,9600,6,8,0.0,3,3,4,4,978.0,0.0,284.0,5,1262,0,1262,3,1,3,6,0,1,3,2,2.0,460.0,3,3,0,298,0,0,0,0,2524.0,2.5,298,34,34,34.0,43,4.0,15144.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,12.109016442313738
68.0,11250,7,5,162.0,4,3,4,2,486.0,0.0,434.0,5,920,866,1786,3,1,4,6,0,1,3,2,2.0,608.0,3,3,0,0,42,0,0,0,2706.0,3.5,42,9,8,9.0,27,5.0,18942.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,12.317171167298682
60.0,9550,7,5,0.0,3,3,3,1,216.0,0.0,540.0,4,961,756,1717,3,1,4,7,0,1,4,1,3.0,642.0,3,3,0,0,35,272,0,0,2473.0,2.0,307,95,40,12.0,58,4.0,17311.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,11.849404844423074
84.0,14260,8,5,350.0,4,3,4,3,655.0,0.0,490.0,5,1145,1053,2198,4,1,4,9,0,1,3,2,3.0,836.0,3,3,0,192,84,0,0,0,3343.0,3.5,276,10,10,10.0,24,5.0,26744.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,12.429220196836383
85.0,14115,5,5,0.0,3,3,4,1,732.0,0.0,64.0,5,796,566,1362,1,1,3,5,0,0,0,1,2.0,480.0,3,3,0,40,30,0,0,0,2158.0,2.5,390,17,15,17.0,14,5.0,10790.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,11.870606902224587
75.0,10084,8,5,186.0,4,3,5,3,1369.0,0.0,317.0,5,1694,0,1694,3,1,4,7,0,1,4,2,2.0,636.0,3,3,0,255,57,0,0,0,3380.0,3.0,312,6,5,6.0,40,5.0,27040.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,True,False,12.634606283893019
80.0,10382,7,6,240.0,3,3,4,2,859.0,32.0,216.0,5,1107,983,2090,3,1,3,7,0,2,3,2,2.0,484.0,3,3,0,235,204,228,0,0,3197.0,3.5,667,37,37,37.0,13,4.0,22379.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,12.206077645517674
51.0,6120,7,5,0.0,3,3,3,1,0.0,0.0,952.0,4,1022,752,1774,2,2,3,8,2,2,3,1,2.0,468.0,2,3,0,90,0,205,0,0,2726.0,2.0,295,79,60,79.0,32,1.0,19082.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,11.774527900858468
50.0,7420,5,6,0.0,3,3,3,1,851.0,0.0,140.0,5,1077,0,1077,2,2,3,5,0,2,3,2,1.0,205.0,4,3,0,0,4,0,0,0,2068.0,2.0,4,71,60,71.0,35,5.0,10340.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,11.678448377988165
70.0,11200,5,5,0.0,3,3,3,1,906.0,0.0,134.0,5,1040,0,1040,3,1,3,5,0,0,0,1,1.0,384.0,3,3,0,0,0,0,0,0,2080.0,2.0,0,45,45,45.0,34,3.5,10400.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,11.771443882099637
85.0,11924,9,5,286.0,5,3,5,1,998.0,0.0,177.0,5,1182,1142,2324,4,1,5,11,0,2,4,3,3.0,736.0,3,3,0,147,21,0,0,0,3499.0,4.0,168,5,4,5.0,53,5.0,31491.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,12.75130259456002
72.0,12968,5,6,0.0,3,3,3,1,737.0,0.0,175.0,3,912,0,912,2,1,3,4,0,0,0,1,1.0,352.0,3,3,0,140,0,0,176,0,1824.0,2.0,316,48,48,48.0,27,4.0,9120.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,11.87757552297847
91.0,10652,7,5,306.0,4,3,4,3,0.0,0.0,1494.0,5,1494,0,1494,3,1,4,7,0,1,4,2,3.0,840.0,3,3,0,160,33,0,0,0,2988.0,2.0,193,4,3,4.0,40,1.0,20916.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,12.540761149388421
73.0,10920,6,5,212.0,3,3,3,1,733.0,0.0,520.0,3,1253,0,1253,2,1,3,5,0,1,2,2,1.0,352.0,3,3,0,0,213,176,0,0,2506.0,2.5,389,50,50,50.0,31,3.0,15036.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,11.964007453736912
51.0,6120,7,8,0.0,3,3,3,1,0.0,0.0,832.0,5,854,0,854,2,1,3,5,0,0,0,1,2.0,576.0,3,3,0,48,112,0,0,0,1686.0,1.0,160,81,9,19.0,41,1.0,11802.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,11.790564777297387
73.0,11241,6,7,180.0,3,3,3,1,578.0,0.0,426.0,5,1004,0,1004,2,1,3,5,0,1,3,3,2.0,480.0,3,3,0,0,0,0,0,0,2008.0,2.0,0,40,40,40.0,9,4.0,12048.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,11.91170829631447
72.0,10791,4,5,0.0,3,3,0,0,0.0,0.0,0.0,3,1296,0,1296,2,2,3,6,0,0,0,1,2.0,516.0,3,3,0,0,0,0,0,0,1296.0,2.0,0,43,43,43.0,50,0.0,5184.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,11.407576060361786
66.0,13695,5,5,0.0,3,3,3,1,646.0,0.0,468.0,5,1114,0,1114,3,1,4,6,0,0,0,1,2.0,576.0,3,3,0,0,102,0,0,0,2228.0,2.5,102,6,6,6.0,30,5.0,11140.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,11.976665770490767
70.0,7560,5,6,0.0,3,3,3,1,504.0,0.0,525.0,3,1339,0,1339,3,1,3,6,2,0,0,1,1.0,294.0,3,3,0,0,0,0,0,0,2368.0,1.0,0,52,45,52.0,19,2.0,11840.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,False,11.842236406331555
101.0,14215,8,5,380.0,4,3,5,3,0.0,0.0,1158.0,5,1158,1218,2376,4,1,4,9,0,1,4,2,3.0,853.0,3,3,0,240,154,0,0,0,3534.0,3.5,394,5,4,5.0,49,1.0,28272.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,12.692506186542177
57.0,7449,7,7,0.0,3,3,3,1,0.0,0.0,637.0,5,1108,0,1108,3,1,4,6,0,1,4,1,1.0,280.0,3,3,2,0,0,205,0,0,1745.0,1.0,205,80,60,80.0,42,1.0,12215.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,True,False,11.845109950883979
75.0,9742,8,5,281.0,4,3,4,1,0.0,0.0,1777.0,5,1795,0,1795,3,1,4,7,0,1,4,2,2.0,534.0,3,3,0,171,159,0,0,0,3572.0,2.0,330,8,8,8.0,27,1.0,28576.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,12.345838935721968
